hip,hr,ra_deg,dec_deg,mag,name,common_name_zh
19,,0.053289,38.303954,6.53,,
25,9077,0.080084,-44.291256,6.28,,
43,9079,0.127686,59.559523,6.18,,王良增九
106,9083,0.330347,49.981487,6.22,,
107,9082,0.333904,-50.337306,5.53,,
119,,0.390071,44.675284,6.82,,
121,,0.396287,28.423474,6.83,,
122,9084,0.397152,-77.066855,4.78,,
124,9085,0.404194,61.22279,5.58,,王良增十
128,,0.416126,73.61177,6.5,,
133,,0.423758,-40.148798,6.62,,
145,9087,0.456156,-3.027569,5.13,,垒壁阵十
154,9089,0.490379,-6.014336,4.37,,垒壁阵十二
171,9088,0.5479,27.076386,5.8,,壁宿增五
179,,0.571231,-13.407232,6.9,,
183,9091,0.583074,-29.720325,5.04,,
186,9092,0.60069,8.956798,6.33,,土公增一
207,9094,0.650415,66.098971,5.87,,
238,9095,0.740216,-20.045377,6.25,,
253,9096,0.783146,-24.145166,6.46,,
258,,0.805869,17.55193,6.59,,
277,,0.860072,-36.251161,6.96,,
297,,0.924107,48.436853,6.8,,
301,9098,0.935149,-17.336034,4.55,,八魁二
330,9100,1.056913,62.287664,5.9,,王良增三
355,9103,1.125452,-10.509599,4.99,,八魁四
365,9105,1.152342,42.092448,6.11,,
377,9108,1.172719,-71.436976,5.59,,
394,9107,1.229974,34.66044,6.09,,
417,2,1.266215,-0.503377,6.32,,
448,,1.342531,3.606051,6.91,,
458,,1.36781,-7.665662,6.97,,
476,4,1.425119,13.396225,5.55,,壁宿增十
496,,1.486626,24.568896,6.9,,
508,,1.517697,40.418515,6.65,,
522,6,1.585508,-49.075445,5.7,,
531,7,1.610725,64.196169,5.57,,王良增二
560,9,1.709369,-23.107841,6.19,,
567,,1.721941,-38.877611,6.91,,
619,,1.896656,31.668872,6.87,,
636,12,1.945901,-22.508781,5.93,,
655,13,2.014203,-33.529306,5.67,,
664,14,2.050447,-2.447742,6.18,,垒壁阵增七
671,16,2.072832,-8.82434,5.99,,
677,15,2.097903,29.08939,2.07,Alpheratz,壁宿二
699,17,2.169663,36.626329,6.21,,
716,19,2.217976,25.463335,6.24,,
729,22,2.261051,18.2118,5.57,,壁宿增十八
730,23,2.260479,-54.001849,6.32,,
746,21,2.301042,59.148625,2.28,Caph,王良一
760,20,2.337864,79.714291,6.01,,
765,25,2.353793,-45.748576,3.88,,火鸟四
798,,2.467394,-62.29668,6.34,,
813,26,2.50937,11.145824,5.54,,土公增二
814,30,2.508042,-82.22418,5.29,,
829,,2.53366,-78.300865,6.97,,
840,29,2.578848,-5.248773,5.84,,
841,27,2.580232,46.072273,5.01,,螣蛇增十一
857,28,2.623907,57.165487,6.74,,
858,,2.6348,33.130881,6.83,,
865,32,2.663336,-73.224272,6.66,,
873,31,2.679456,-12.580141,5.84,,
910,33,2.815514,-15.469699,4.89,,八魁一
930,34,2.89345,-27.799628,5.41,,
950,35,2.93469,-35.132393,5.24,,
966,,2.982813,-42.172433,6.53,,
969,,3.006335,23.471773,6.58,,
973,,3.012561,-13.813289,6.56,,
981,,3.034121,53.623808,6.87,,
983,37,3.042014,-17.938435,5.29,,
1009,,3.143243,44.707058,6.5,,
1030,38,3.209357,37.693639,6.71,,
1046,,3.26635,-22.470078,6.66,,
1057,,3.289487,16.920942,6.52,,
1067,39,3.309001,15.183543,2.83,Algenib,壁宿一
1074,47,3.331452,-84.99402,5.78,,
1076,40,3.349566,26.987336,6.24,,
1086,41,3.377462,41.034431,5.71,,天厩增一
1096,42,3.426287,-26.022848,5.94,,
1101,,3.437699,-48.684332,6.97,,
1107,,3.448069,1.38349,6.79,,
1126,,3.518553,-74.911848,6.97,,
1133,,3.538077,26.258602,7,,
1140,,3.561249,-55.069848,6.66,,
1146,,3.586832,-62.771877,6.63,,
1147,,3.586162,-21.198455,6.89,,
1158,46,3.615511,-7.780517,5.13,,
1168,45,3.651303,20.206713,4.79,,壁宿增十九
