hyg,hip,hd,hr,gl,ra_deg,dec_deg,mag,name,common_name_zh,pmra_masyr,pmdec_masyr
1,1,224700,,,0.00090000,1.08900900,9.1,,,-5.2,-1.88
2,2,224690,,,0.00424500,-19.49884000,9.27,,,181.21,-0.93
3,3,224699,,,0.00502500,38.85927900,6.61,,,5.24,-2.91
4,4,224707,,,0.00853500,-51.89354600,8.06,,,62.85,0.16
5,5,224705,,,0.00997500,-40.59120200,8.55,,,2.53,9.07
6,6,,,,0.01869000,3.94645800,12.31,,,226.29,-12.84
7,7,,,,0.02205000,20.03611400,9.64,,,-208.12,-200.79
8,8,224709,,,0.02734500,25.88646100,9.05,,,19.09,-5.66
9,9,224708,,,0.03532500,36.58595800,8.59,,,-6.3,8.42
10,10,224717,,,0.03636000,-50.86697600,8.59,,,42.23,40.02
11,11,224720,,,0.03732000,46.93999700,7.34,,,11.09,-2.02
12,12,224715,,,0.04090500,-35.96022500,8.43,,,-5.99,-0.1
13,13,224728,,,0.04170000,-22.59470500,8.8,,,8.45,-10.07
14,14,224726,,,0.04842000,-0.36045000,7.25,,,61.75,-11.67
15,15,236267,,,0.05034000,50.79118700,8.6,,,13.88,5.47
16,17,224732,,,0.05101500,-40.19239200,8.15,,,-34.46,-26.37
17,16,,,,0.05203500,-54.91436300,11.71,,,257.39,-96.63
18,18,,,,0.05283000,-4.05368000,11.03,,,-127.22,23.78
19,19,224721,,,0.05331000,38.30405000,6.53,,,-2.5,-15.07
20,20,224723,,,0.06304500,23.52922800,8.51,,,36.0,-22.98
21,21,224724,,,0.06639000,8.00723400,7.55,,,61.89,-0.22
22,22,224735,,,0.07011000,-49.35226600,8.69,,,-7.9,0.46
23,23,224742,,,0.07456500,13.31223400,7.57,,,54.15,9.65
24,24,224746,,,0.07636500,-23.45269500,9.05,,,127.15,22.22
25,25,224750,9077,,0.07950000,-44.29056100,6.28,,,58.36,-108.64
26,26,224744,,,0.08409000,-13.39337800,9.13,,,-103.33,-33.35
27,27,224748,,,0.08580000,-41.29781300,9.32,,,135.96,-113.67
28,28,224749,,,0.08722500,-43.36182100,8.83,,,-10.96,-8.69
29,29,224751,,,0.09219000,-49.10794500,9.14,,,26.86,4.05
30,30,224757,,,0.09612000,42.14147400,8.26,,,-8.44,-10.14
31,31,224760,,,0.09808500,2.67547700,7.63,,,-4.88,-0.2
32,32,224756,,,0.09858000,51.93948700,9.09,,,-0.39,-1.38
33,33,224743,,,0.09916500,-10.46238500,8.1,,,-3.62,28.71
34,34,224758,9078,,0.09957000,26.91810800,6.43,,,42.2,-53.47
35,35,224745,,,0.10296000,-14.49048400,9.07,,,162.25,-1.47
36,36,224759,,,0.10339500,12.26712800,7.68,,,49.71,14.27
37,37,224764,,,0.10533000,-47.17956700,10.44,,,-6.92,7.03
38,38,224752,,,0.11143500,-79.06198300,8.65,,,162.3,-62.4
39,39,224763,,,0.11227500,-16.69700900,7.46,,,169.72,-32.54
40,41,224768,,,0.11656500,54.30223600,8.7,,,1.78,-0.47
41,40,,,,0.12196500,67.21678300,10.61,,,-2.99,-3.18
42,42,224771,,,0.12543000,25.84476500,8.2,,,20.7,-6.51
43,43,224784,9079,,0.12889500,59.55967900,6.18,,王良增九,-80.6,-24.07
44,44,224776,,,0.13275000,-3.30632300,7.91,,,11.1,16.04
45,45,224766,,,0.13411500,-72.20271700,9.59,,,-37.2,-2.78
46,46,224778,,,0.13458000,-25.62228500,8.57,,,15.17,-13.39
47,47,,,,0.13509000,-56.83560200,10.78,,,-44.21,-145.9
48,48,224780,,,0.13522500,-40.69047400,7.31,,,4.08,-11.28
49,49,,,,0.13956000,16.66904900,9.53,,,26.66,6.95
50,50,224782,,,0.14299500,-53.09771300,6.49,,,52.98,-20.52
51,51,224774,,,0.14341500,1.06621300,8.94,,,10.19,6.33
52,52,224767,,,0.14671500,-77.02011600,8.56,,,21.46,9.91
53,53,,,,0.14742000,-29.26341400,10.96,,,11.94,-12.96
54,54,,,,0.15255000,17.96890800,10.57,,,367.14,-19.49
55,55,224783,,,0.15823500,-66.68317300,7.4,,,162.88,-28.82
56,56,224785,,,0.16293000,0.22293100,8.12,,,39.02,-3.09
57,57,224789,,,0.16818000,-69.67596500,8.27,,,-40.97,-67.59
58,58,224792,,,0.17365500,62.17589800,7.05,,,-46.95,-43.9
59,59,236270,,,0.17445000,55.72246000,9.09,,,-0.27,-1.02
60,60,224788,,,0.17542500,-64.46579900,8.34,,,1.75,10.74
61,61,236269,,,0.17623500,53.82214600,8.86,,,32.68,-16.7
62,62,224800,,,0.17997000,-45.42273900,8.27,,,4.02,-4.78
63,63,224801,9080,,0.18178500,45.25333400,6.36,,,17.38,0.22
64,64,224798,,,0.18457500,-27.90758200,8.08,,,-5.93,-14.59
65,65,,,,0.18747000,-54.83052400,11.0,,,-205.14,-75.34
66,66,224790,,,0.18850500,-72.31822000,8.55,,,-15.61,11.88
