name,type,ra_deg,dec_deg,area_sqdeg,opacity,sequence,related_barnard
LDN1800,DrkN,255.3755,-22.2387,0.015,3,1,
LDN1801,DrkN,267.5481,-29.5138,2.770,2,2,
LDN1799,DrkN,251.7348,-19.6723,0.017,4,3,
LDN0002,DrkN,271.8113,-31.4932,1.240,2,4,
LDN1802,DrkN,255.5755,-22.2211,0.016,3,5,
LDN0003,DrkN,270.8080,-30.9980,5.600,2,6,
LDN0004,DrkN,255.6255,-22.2042,0.004,5,7,
LDN0001,DrkN,247.2144,-16.1094,0.054,3,8,
LDN0005,DrkN,259.0646,-24.4213,0.012,4,9,
LDN0007,DrkN,262.1518,-26.2899,0.036,6,10,
LDN0006,DrkN,257.2570,-23.2299,0.052,3,11,
LDN0008,DrkN,251.6076,-19.2562,0.084,4,12,
LDN0010,DrkN,269.4521,-30.1046,0.003,4,13,
LDN0009,DrkN,257.5071,-23.2287,0.070,3,14,
LDN0011,DrkN,257.0300,-22.8976,0.012,6,15,57
LDN0012,DrkN,269.5523,-30.1208,0.003,4,16,
LDN0014,DrkN,261.2720,-25.5441,0.020,4,17,260
LDN0013,DrkN,256.0005,-22.1691,0.012,3,18,
LDN0015,DrkN,256.1005,-22.1686,0.043,6,19,51
LDN0016,DrkN,259.0124,-24.0549,0.120,3,20,
LDN0019,DrkN,262.2753,-26.0393,0.642,4,21,265 264
LDN0017,DrkN,257.0041,-22.7311,0.404,3,22,246  60
LDN0018,DrkN,257.2551,-22.8965,0.010,4,23,
LDN0020,DrkN,257.1291,-22.7305,0.047,4,24,
LDN0021,DrkN,262.2747,-25.9393,0.023,5,25,
LDN0022,DrkN,251.7310,-18.9223,0.280,3,26,
LDN0024,DrkN,259.3874,-24.0198,0.004,5,27,
LDN0023,DrkN,259.3121,-23.9701,0.002,5,28,
LDN0025,DrkN,263.1265,-26.1852,0.007,6,29,
LDN0026,DrkN,271.3047,-30.4956,0.034,3,30,
LDN0029,DrkN,271.7056,-30.6270,0.030,3,31,
LDN0027,DrkN,246.9595,-15.1105,3.460,1,32,
LDN0028,DrkN,259.7627,-24.0513,2.220,2,33,
LDN0030,DrkN,258.2565,-23.0585,0.215,1,34,
LDN0031,DrkN,252.4822,-19.0855,0.022,6,35,
LDN0032,DrkN,257.7539,-22.6442,0.111,4,36,
LDN0033,DrkN,250.3476,-17.4286,0.312,2,37,
LDN0034,DrkN,267.0386,-28.0163,25.000,3,38,
LDN0035,DrkN,269.1205,-29.0729,0.020,4,39,289
LDN0036,DrkN,262.1704,-25.2064,0.004,5,40,267
LDN0037,DrkN,260.0119,-23.8834,0.014,3,41,
LDN0038,DrkN,257.8280,-22.4771,0.008,5,42,
LDN0040,DrkN,269.2955,-29.0720,0.029,4,43,
LDN0039,DrkN,257.9032,-22.4935,0.017,5,44,317
LDN0041,DrkN,271.3015,-29.9956,0.009,3,45,
LDN0042,DrkN,263.2736,-25.7011,1.450,4,46,78
LDN0044,DrkN,260.0109,-23.7168,0.036,1,47,
LDN0045,DrkN,262.7715,-25.3702,0.348,4,48,
LDN0043,DrkN,248.6139,-15.8365,0.070,6,49,
LDN0046,DrkN,258.2537,-22.5585,0.348,3,50,
LDN0048,DrkN,269.5451,-29.0041,6.140,1,51,
LDN0049,DrkN,270.5483,-29.4993,1.040,3,52,
LDN0050,DrkN,261.2652,-24.3774,0.018,4,53,76  73
LDN0047,DrkN,252.4796,-18.5855,0.280,3,54,
LDN0052,DrkN,263.0465,-25.3522,0.006,6,55,
LDN0051,DrkN,258.1524,-22.3423,0.034,4,56,
LDN0053,DrkN,260.7874,-23.9131,0.001,6,57,71
LDN0054,DrkN,260.8877,-23.9626,0.002,4,58,70
LDN0055,DrkN,260.7622,-23.8799,0.003,6,59,69
LDN0056,DrkN,258.7539,-22.5561,0.462,3,60,
LDN0058,DrkN,262.6188,-24.9209,0.004,5,61,
LDN0057,DrkN,260.6613,-23.7303,0.003,6,62,68
LDN0059,DrkN,260.1591,-23.3827,0.007,3,63,255
LDN0060,DrkN,258.0003,-21.9763,0.035,4,64,
LDN0061,DrkN,262.8439,-24.9199,0.008,5,65,
LDN0063,DrkN,252.4771,-18.0855,0.037,6,66,
LDN0062,DrkN,252.4771,-18.0855,1.740,1,67,
LDN0064,DrkN,265.0260,-26.0260,0.995,4,68,
LDN0065,DrkN,258.2500,-21.8918,0.088,6,69,
LDN0066,DrkN,261.0103,-23.5453,0.009,6,70,72
LDN0068,DrkN,271.7724,-29.3600,0.006,3,71,
LDN0067,DrkN,258.5001,-21.8906,0.088,5,72,
LDN0069,DrkN,262.0135,-24.0405,2.190,3,73,77 269
LDN0070,DrkN,261.2604,-23.5441,0.010,4,74,
LDN0071,DrkN,258.4992,-21.7240,0.142,4,75,
LDN0072,DrkN,260.0043,-22.5501,0.308,2,76,
LDN0073,DrkN,262.7647,-24.2036,0.278,2,77,
LDN0075,DrkN,272.0461,-29.1587,0.068,1,78,
LDN0074,DrkN,264.5210,-25.1951,0.038,6,79,
LDN0076,DrkN,264.2699,-25.0297,0.531,3,80,
LDN0077,DrkN,259.7526,-22.2513,0.005,2,81,
LDN0078,DrkN,270.2899,-28.1838,0.001,3,82,294
LDN0079,DrkN,258.7479,-21.4728,0.300,4,83,
LDN0080,DrkN,264.7705,-25.1106,0.005,5,84,
LDN0081,DrkN,261.2574,-23.0108,0.009,5,85,74
LDN0082,DrkN,266.5263,-26.0188,2.260,2,86,
LDN0084,DrkN,264.0170,-24.5309,0.328,4,87,
LDN0083,DrkN,248.5813,-14.2699,0.056,5,88,
LDN0085,DrkN,261.5075,-23.0096,0.036,4,89,261
LDN0086,DrkN,260.2526,-22.2156,0.063,2,90,
LDN0087,DrkN,259.6500,-21.8018,0.001,5,91,
LDN0088,DrkN,260.1266,-22.0495,0.027,2,92,
LDN0090,DrkN,264.8941,-24.8600,0.036,5,93,
LDN0089,DrkN,259.6245,-21.7019,0.005,5,94,
LDN0091,DrkN,260.8792,-22.4626,0.016,4,95,262
LDN0092,DrkN,259.7496,-21.7180,0.005,5,96,
LDN0093,DrkN,270.6878,-27.8319,0.007,5,97,86
LDN0094,DrkN,260.0000,-21.7668,0.041,2,98,
LDN0095,DrkN,259.9995,-21.6835,0.010,5,99,
LDN0096,DrkN,272.0408,-28.3253,0.030,1,100,
LDN0097,DrkN,271.8399,-28.1763,0.011,3,101,
LDN0099,DrkN,259.7478,-21.3847,0.090,3,102,63
LDN0100,DrkN,258.9948,-20.8882,0.075,6,103,62
LDN0101,DrkN,260.4503,-21.7980,0.002,5,104,
LDN0098,DrkN,248.9549,-13.9516,0.011,4,105,
LDN0102,DrkN,260.6258,-21.8805,0.035,6,106,67A
LDN0103,DrkN,260.3748,-21.7150,0.009,3,107,
LDN0104,DrkN,258.9943,-20.8049,0.019,6,108,
LDN0105,DrkN,249.1050,-13.9509,0.001,5,109,
LDN0108,DrkN,272.5407,-28.3229,0.003,6,110,
LDN0107,DrkN,261.5034,-22.2929,0.023,5,111,
LDN0106,DrkN,249.1800,-13.9505,0.001,5,112,
LDN0109,DrkN,264.7647,-24.1106,0.007,5,113,83
LDN0111,DrkN,258.7918,-20.3559,0.007,6,114,61
LDN0112,DrkN,261.2510,-21.8775,0.034,5,115,75
LDN0110,DrkN,252.4670,-16.0855,0.354,3,116,82  81
LDN0113,DrkN,264.6382,-23.8612,0.041,2,117,
LDN0114,DrkN,265.0143,-24.0260,0.496,2,118,
LDN0115,DrkN,253.4703,-16.6642,0.142,3,119,
LDN0116,DrkN,271.6356,-27.4940,0.002,3,120,
LDN0117,DrkN,261.2501,-21.7108,0.172,2,121,
LDN0120,DrkN,271.6101,-27.4108,0.010,3,122,299
LDN0119,DrkN,270.7826,-26.9981,0.342,2,123,
LDN0118,DrkN,253.7208,-16.7464,0.054,4,124,
LDN0122,DrkN,253.7959,-16.7460,0.020,6,125,
LDN0121,DrkN,249.9557,-14.0137,0.017,5,126,
LDN0123,DrkN,271.9101,-27.4093,0.002,4,127,
LDN0124,DrkN,273.2886,-27.9859,4.320,2,128,
LDN0125,DrkN,264.0083,-23.0309,0.975,3,129,272
LDN0126,DrkN,265.7644,-24.0224,0.361,1,130,
LDN0127,DrkN,272.0345,-27.3087,0.007,4,131,
LDN0128,DrkN,262.7533,-22.2036,0.810,2,132,
LDN0130,DrkN,266.2654,-24.1867,0.296,2,133,281
LDN0129,DrkN,253.7437,-16.3296,0.009,6,134,
LDN0131,DrkN,261.2473,-21.2108,0.362,3,135,
LDN0133,DrkN,269.7766,-26.0030,0.117,4,136,
LDN0132,DrkN,253.7183,-16.2464,0.052,4,137,
LDN0135,DrkN,270.5286,-26.3327,0.008,4,138,
LDN0136,DrkN,262.2504,-21.7060,0.151,1,139,
LDN0138,DrkN,260.9954,-20.8787,1.030,1,140,
LDN0137,DrkN,252.7137,-15.4177,0.896,4,141,
LDN0134,DrkN,238.4097,-4.6472,0.220,5,142,
LDN0139,DrkN,259.1885,-19.7206,0.115,3,143,251
LDN0140,DrkN,268.2705,-25.0103,1.010,2,144,
LDN0142,DrkN,265.7615,-23.5224,1.480,3,145,279
